cgpa,internships,projects,skills,placed
6.8,0,2,5,1
5.75,2,2,3,1
6.6,3,2,5,1
8.47,1,5,2,1
7.96,1,5,5,1
6.4,2,1,4,1
6.12,1,5,3,1
9.13,2,4,1,1
5.06,0,3,2,0
5.08,1,3,4,0
7.93,3,2,1,1
5.87,3,1,2,0
5.89,2,1,2,0
6.9,3,5,4,1
9.05,0,1,5,1
6.71,3,3,4,1
8.85,0,0,1,0
6.9,3,2,3,1
8.41,2,0,3,0
9.45,1,0,4,1
9.08,3,1,1,1
8.21,0,2,4,1
6.32,2,0,3,1
9.66,2,0,5,1
6.13,1,2,1,0
7.05,1,3,5,1
8.05,3,4,4,1
5.67,2,4,3,1
6.1,3,2,3,1
9.23,1,4,1,1
7.19,3,3,4,1
9.24,3,1,4,1
6.53,0,0,1,0
7.05,3,4,1,1
5.03,3,2,1,1
8.32,1,3,3,1
7.49,0,3,1,0
6.21,1,2,1,0
6.37,0,2,1,0
7.41,1,4,1,0
6.15,1,4,4,1
9.73,3,3,3,1
8.5,3,4,4,1
8.04,2,0,1,0
8.34,2,3,4,1
5.08,2,2,4,1
5.46,0,0,2,0
5.66,3,0,1,0
7.6,1,2,4,1
8.92,0,3,4,1
9.78,1,3,5,1
9.24,2,0,1,1
8.36,3,2,4,1
6.94,0,3,3,0
8.77,3,3,3,1
8.18,0,1,2,0
8.32,3,4,1,1
8.42,0,5,5,1
6.76,3,2,1,1
7.6,2,2,5,1
8.03,1,4,1,1
8.21,0,4,4,1
7.75,3,0,1,1
7.26,1,4,3,1
9.46,0,5,5,1
9.63,0,3,5,1
5.92,0,2,2,0
6.89,1,1,3,1
5.34,1,5,2,1
6.42,1,0,1,0
8.37,3,4,2,1
8.89,0,4,4,1
7.41,0,3,1,0
8.37,3,5,4,1
5.13,1,1,3,0
5.74,1,4,2,0
6.2,1,5,3,1
7.51,0,3,4,0
7.19,1,4,4,1
7.6,2,3,5,1
5.2,3,2,4,1
5.12,0,5,1,0
6.96,1,1,1,0
6.15,1,0,5,0
9.58,2,4,5,1
6.19,3,2,5,1
5.07,1,3,5,1
9.11,3,4,4,1
5.47,3,4,4,1
7.23,0,1,2,0
9.26,3,1,2,1
7.42,0,4,5,1
7.96,3,1,1,1
7.81,2,3,4,1
8.09,0,4,3,1
8.0,0,0,2,0
5.33,2,5,2,1
6.62,1,4,2,0
5.11,1,2,1,0
5.57,0,1,5,0
9.21,3,0,5,1
5.85,0,2,1,0
6.98,1,0,5,0
7.06,0,0,3,0
9.33,1,3,1,1
6.43,2,0,4,0
9.6,2,3,1,1
9.59,2,3,3,1
7.15,2,3,1,1
8.61,2,0,5,1
9.78,1,4,3,1
7.62,2,1,4,1
8.66,3,0,5,1
5.4,0,1,1,0
8.39,0,4,5,1
9.74,3,4,1,1
8.9,2,0,5,1
6.68,3,2,5,1
7.04,1,2,3,0
6.94,1,1,4,1
8.68,2,0,1,0
7.8,1,0,4,1
9.17,1,4,2,1
7.67,2,4,5,1
9.41,3,2,3,1
5.36,2,0,1,0
6.41,0,4,3,0
8.54,2,3,2,1
5.28,1,3,4,0
5.81,3,1,2,1
5.37,0,3,3,0
6.34,0,3,5,1
6.3,0,5,3,0
9.56,3,4,1,1
5.4,1,1,3,0
5.13,0,5,1,0
9.74,0,2,5,1
6.83,1,2,3,0
5.3,0,2,1,0
5.27,1,3,1,0
9.8,1,2,5,1
8.69,0,1,2,0
6.19,1,0,1,0
5.99,0,0,2,0
6.29,2,1,2,0
7.29,2,2,2,0
8.92,3,4,3,1
5.64,2,4,5,1
8.38,2,5,4,1
6.68,1,1,3,1
6.67,1,0,4,0
7.99,2,0,5,1
5.71,3,0,2,0
6.24,3,4,2,1
7.36,0,5,3,1
5.36,0,2,4,1
8.34,0,2,3,1
8.2,1,4,2,1
8.94,1,3,2,1
5.43,0,4,1,0
5.99,1,0,2,0
5.19,0,0,3,0
6.33,0,0,3,0
7.58,3,5,2,1
6.77,3,1,5,1
5.18,3,2,3,1
7.46,2,3,5,1
7.15,2,2,1,1
5.87,2,0,1,0
5.43,1,3,1,0
6.65,0,3,2,0
8.11,1,3,2,0
7.82,3,2,2,1
6.74,1,1,3,0
7.91,0,4,5,1
6.75,3,3,3,1
5.83,2,0,3,0
6.97,3,5,2,1
9.65,3,5,1,1
5.82,2,5,1,0
7.67,3,1,3,1
5.9,1,3,3,0
7.44,0,3,1,0
8.69,1,4,3,1
6.54,2,0,2,0
7.63,1,3,2,0
8.29,3,0,5,1
8.65,2,5,3,1
5.51,0,5,4,1
9.48,2,0,2,0
6.82,0,5,4,1
5.67,0,4,4,1
8.96,0,4,3,1
7.51,3,0,5,1
8.28,3,5,3,1
7.59,2,0,1,0
9.32,2,1,5,1
6.1,2,2,3,0
8.51,1,3,5,1
7.56,2,2,4,1
5.73,0,4,5,1
8.57,1,3,2,1
7.37,1,0,5,1
6.82,0,3,5,1
5.72,2,3,4,1
5.06,2,2,4,1
8.44,2,4,4,1
9.6,3,5,2,1
9.38,3,5,2,1
6.23,3,3,3,1
5.49,3,3,5,1
8.39,1,0,4,1
7.91,1,2,5,1
9.48,1,2,1,1
9.73,1,3,1,0
9.18,2,2,5,1
8.57,1,3,1,1
6.6,2,3,1,1
9.42,1,1,3,1
9.41,3,2,3,1
7.77,3,5,5,1
6.5,0,2,2,0
6.02,0,0,4,0
6.99,3,4,1,1
7.86,0,5,3,1
6.68,1,4,1,1
7.27,3,2,2,1
8.72,2,1,2,1
7.31,1,5,3,1
5.87,0,2,2,0
9.31,1,3,1,1
9.7,3,1,5,1
5.13,2,2,3,0
5.5,2,4,3,1
7.67,3,1,3,1
9.75,3,5,3,1
6.91,0,5,5,1
6.41,3,1,2,0
8.53,0,2,5,1
7.8,3,1,2,0
8.92,3,2,2,1
6.74,2,3,4,1
6.66,3,5,1,1
9.13,2,3,2,1
8.74,0,1,3,0
8.84,0,1,3,0
6.29,3,1,5,1
6.24,1,5,3,1
5.63,0,4,2,0
8.28,1,1,5,1
7.39,1,0,5,1
7.39,3,4,2,1
5.66,0,5,3,1
6.2,0,0,5,0
7.75,0,1,5,1
8.7,1,1,4,0
5.4,3,2,2,1
6.87,3,2,4,1
7.93,1,1,5,1
6.3,2,3,3,1
9.04,0,5,3,1
7.99,1,4,1,0
6.69,0,0,5,1
7.09,2,2,3,1
5.01,2,5,2,1
6.73,3,2,3,1
9.56,2,0,4,1
9.19,3,4,1,1
8.48,3,5,1,1
7.35,2,2,2,1
5.19,1,0,2,0
7.27,2,5,5,1
6.43,3,1,3,1
8.82,2,5,4,1
7.18,2,1,1,0
7.86,2,3,4,1
9.25,2,1,4,1
6.51,0,3,5,1
6.53,1,0,5,0
5.12,1,1,3,0
7.54,3,2,3,1
5.05,0,5,1,0
5.18,3,0,4,0
5.44,2,3,5,1
6.15,2,4,2,0
8.43,0,0,1,0
7.05,0,0,4,0
9.59,0,4,5,1
9.72,2,5,3,1
9.75,2,3,4,1
9.53,2,5,5,1
5.23,0,1,1,0
8.97,0,4,1,0
9.45,1,0,5,1
8.64,1,0,3,1
7.22,0,4,1,0
9.3,0,1,3,0
6.31,0,0,3,0
9.09,1,0,1,0
8.53,1,3,3,1
5.23,1,5,5,1
9.29,0,0,2,0
9.24,1,4,3,1
6.67,1,2,5,1
9.22,2,3,1,1
9.02,0,4,2,1
7.97,1,3,5,1
8.96,1,2,5,1
9.36,1,3,2,1
8.63,3,1,5,1
9.71,0,1,4,1
8.93,3,5,3,1
5.09,0,1,4,0
9.47,0,5,4,1
8.3,1,3,3,1
8.7,0,1,1,0
7.98,2,1,2,0
9.67,0,3,4,1
7.85,3,4,3,1
6.55,2,2,3,1
7.14,1,1,5,0
7.05,0,0,5,0
6.43,3,1,4,1
5.63,2,0,4,1
8.51,2,4,3,1
6.91,0,4,3,0
6.54,1,1,5,1
5.15,0,3,2,0
7.26,2,3,1,1
5.44,3,2,2,0
8.01,3,3,5,1
9.42,2,3,1,1
5.56,0,5,4,1
7.07,1,0,4,0
7.79,0,1,3,0
5.72,0,1,2,0
8.47,2,4,1,1
9.57,0,2,3,1
5.7,3,0,4,1
6.66,3,1,4,1
7.49,0,0,5,1
5.16,3,1,2,1
7.72,1,1,2,0
5.96,2,3,1,1
8.05,2,2,1,0
7.96,2,0,2,0
9.18,1,3,4,1
8.17,3,3,2,1
7.17,2,0,4,1
5.39,1,3,4,0
7.3,2,1,3,1
8.57,0,4,3,1
5.1,2,5,5,1
7.6,2,2,4,1
6.94,0,4,1,0
7.22,1,4,2,1
7.04,3,3,4,1
7.42,1,0,3,0
7.82,1,4,2,1
9.19,1,3,2,1
6.84,1,4,1,1
8.72,3,5,2,1
9.66,2,4,5,1
7.36,1,5,4,1
7.47,0,3,2,1
5.78,2,0,1,0
6.24,0,4,1,0
7.87,3,4,3,1
5.35,1,1,5,0
8.21,0,0,5,1
7.82,3,0,1,0
6.82,2,4,5,1
7.28,0,3,4,1
7.68,2,4,4,1
5.27,2,4,4,1
5.19,2,2,5,1
5.5,2,5,4,1
9.74,3,2,3,1
6.55,0,0,3,0
8.2,3,5,5,1
9.51,3,1,5,1
8.51,0,5,5,1
6.23,0,1,3,0
5.08,1,0,2,0
9.15,0,3,3,1
8.82,3,0,1,1
9.52,1,4,5,1
6.67,1,1,1,0
6.95,3,4,1,1
6.39,2,3,2,1
6.57,1,2,2,0
9.21,2,2,5,1
6.8,1,5,1,1
6.56,3,1,5,1
6.87,0,0,1,0
6.79,3,5,2,1
7.9,1,5,2,1
7.22,2,4,2,1
7.49,1,3,5,1
6.64,3,4,2,1
6.18,3,2,2,1
5.94,2,4,4,1
6.17,2,2,4,1
7.3,2,1,5,1
6.23,3,5,3,1
8.85,2,1,4,1
8.44,0,4,4,1
5.59,2,3,2,1
7.52,2,0,2,1
7.04,1,5,1,0
7.89,1,4,4,1
8.81,2,1,2,0
8.7,0,1,3,1
6.45,3,2,4,1
8.2,1,2,4,1
7.17,1,4,1,1
9.17,0,4,1,1
5.11,2,2,4,0
7.62,1,0,5,1
9.74,2,4,2,1
7.13,0,0,1,0
9.76,3,5,3,1
8.48,1,4,4,1
8.1,3,2,1,1
6.76,1,0,4,0
7.49,1,3,5,1
8.07,3,5,2,1
7.56,0,1,3,0
8.21,2,3,2,1
7.68,1,5,4,1
7.79,1,3,5,1
8.05,2,0,2,1
7.16,3,3,1,1
8.19,3,2,5,1
6.92,3,5,5,1
9.45,3,0,1,1
7.5,1,5,2,1
8.63,0,4,4,1
5.76,0,5,4,1
6.09,0,1,1,0
6.66,0,0,1,0
8.96,1,1,4,1
7.48,2,5,3,1
9.76,0,3,2,1
9.47,1,5,2,1
8.24,1,5,3,1
6.02,1,0,5,1
5.83,1,2,2,0
9.68,3,1,1,1
5.64,1,0,4,0
7.34,1,5,5,1
9.57,1,0,5,1
5.33,1,3,1,0
9.62,3,3,4,1
9.49,3,1,5,1
5.0,2,5,2,1
5.73,2,4,3,1
7.21,1,5,3,1
8.34,0,2,1,0
5.36,3,5,3,1
8.32,3,0,4,1
9.78,0,4,4,1
7.99,3,5,2,1
9.26,1,4,3,1
7.52,1,5,5,1
9.63,2,1,3,1
5.09,2,4,2,1
5.66,2,4,1,0
5.06,1,4,5,1
5.31,3,3,1,1
6.28,2,4,4,1
5.61,1,3,4,1
7.28,0,4,4,1
7.21,0,1,5,0
8.16,0,0,2,0
6.34,1,1,4,1
7.22,2,1,3,1
8.06,2,0,4,1
7.49,2,4,4,1
7.13,3,4,1,1
8.44,0,2,3,1
5.17,3,4,2,1
6.42,2,3,3,1
8.76,2,2,2,1
7.64,1,1,4,1
6.42,3,0,1,0
8.2,2,0,4,1
8.72,0,0,2,0
8.83,3,2,2,1
7.8,2,3,2,1
5.21,0,1,1,0
6.8,1,3,2,1
